,pokemon,description,number_nationaldex
0,Bulbasaur,"
                  Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun's rays,
the seed grows progressively larger.
                ",001
1,Ivysaur,"
                  There is a bud on this Pokémon's back. To support its weight,
Ivysaur's legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it's a sign that the bud will bloom into a large flower soon.
                ",002
2,Venusaur,"
                  There is a large flower on Venusaur's back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower's aroma soothes the emotions of people.
                ",003
3,Charmander,"
                  The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely.
                ",004
4,Charmeleon,"
                  Charmeleon mercilessly destroys its foes using its sharp claws.
If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with a
bluish white color.
                ",005
5,Charizard,"
                  Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself.
                ",006
6,Squirtle,"
                  Squirtle's shell is not merely used for protection.
The shell's rounded shape and the grooves on its surface
help minimize resistance in water, enabling this Pokémon
to swim at high speeds.
                ",007
7,Wartortle,"
                  Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon's
toughness as a battler.
                ",008
8,Blastoise,"
                  Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate. They can shoot bullets of
water with enough accuracy to strike empty cans from a
distance of over 160 feet.
                ",009
9,Caterpie,"
                  Caterpie has a voracious appetite. It can devour leaves bigger
than its body right before your eyes. From its antenna, this
Pokémon releases a terrifically strong odor.
                ",010
10,Metapod,"
                  The shell covering this Pokémon's body is as hard as an
iron slab. Metapod does not move very much. It stays still
because it is preparing its soft innards for evolution inside
the hard shell.
                ",011
11,Butterfree,"
                  Butterfree has a superior ability to search for delicious honey
from flowers. It can even search out, extract, and carry honey
from flowers that are blooming over six miles from its nest.
                ",012
12,Weedle,"
                  Weedle has an extremely acute sense of smell. It is capable of
distinguishing its favorite kinds of leaves from those it dislikes
just by sniffing with its big red proboscis (nose).
                ",013
13,Kakuna,"
                  Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares for
its coming evolution. This is evident from how hot the shell
becomes to the touch.
                ",014
14,Beedrill,"
                  Beedrill is extremely territorial. No one should ever approach
its nest—this is for their own safety. If angered, they will attack
in a furious swarm.
                ",015
15,Pidgey,"
                  Pidgey has an extremely sharp sense of direction. It is capable
of unerringly returning home to its nest, however far it may be
removed from its familiar surroundings.
                ",016
16,Pidgeotto,"
                  Pidgeotto claims a large area as its own territory.
This Pokémon flies around, patrolling its living space.
If its territory is violated, it shows no mercy in thoroughly
punishing the foe with its sharp claws.
                ",017
17,Pidgeot,"
                  This Pokémon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokémon.
                ",018
18,Rattata,"
                  Rattata is cautious in the extreme. Even while it is asleep,
it constantly listens by moving its ears around. It is not picky
about where it lives—it will make its nest anywhere.
                ",019
